date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:43:54	393564/393564	---M-Z	200	added ('OK')	text/html	etag:%221423269554-0%22	http://my.teslamotors.com/models/design	C:/My%20Web%20Sites/tesla/my.teslamotors.com/models/design.html	(from )
19:43:54	695/695	---M-Z	200	added ('OK')	text/plain	etag:%226a1-4f860e72ede80%22	http://my.teslamotors.com/robots.txt		(from )
19:43:54	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-50e74370fcbed%22	http://my.teslamotors.com/sites/all/themes/tesla/favicon.ico	C:/My%20Web%20Sites/tesla/my.teslamotors.com/sites/all/themes/tesla/favicon.ico	(from http://my.teslamotors.com/models/design)
19:43:55	5022/5022	---M--	200	added ('OK')	image/png	etag:%22139e-50e3d268b2380%22	http://my.teslamotors.com/tesla_theme/images/models/share_thumb.png	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/images/models/share_thumb.png	(from http://my.teslamotors.com/models/design)
19:43:55	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Sat,%2007%20Feb%202015%2000:43:34%20GMT	http://www.teslamotors.com/models/design	C:/My%20Web%20Sites/tesla/www.teslamotors.com/models/design.3.delayed	(from http://my.teslamotors.com/models/design)
19:43:55	1291/1291	---M--	200	added ('OK')	image/png	etag:%2250b-50c595bbfe9e6%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-57x57.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-57x57c81e.png	(from http://my.teslamotors.com/models/design)
19:43:56	1361/1361	---M--	200	added ('OK')	image/png	etag:%22551-50e3d0953007d%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-60x60.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-60x60c81e.png	(from http://my.teslamotors.com/models/design)
19:43:56	3451/3451	---M--	200	added ('OK')	image/png	etag:%22d7b-50dd92b6a3bc0%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-iconc81e.png	(from http://my.teslamotors.com/models/design)
19:43:56	1610/1610	---M--	200	added ('OK')	image/png	etag:%2264a-50d604659fd2a%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-72x72.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-72x72c81e.png	(from http://my.teslamotors.com/models/design)
19:43:56	1746/1746	---M--	200	added ('OK')	image/png	etag:%226d2-50db09bc1f417%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-76x76.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-76x76c81e.png	(from http://my.teslamotors.com/models/design)
19:43:56	2559/2559	---M--	200	added ('OK')	image/png	etag:%229ff-50c6f8959919a%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-114x114.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-114x114c81e.png	(from http://my.teslamotors.com/models/design)
19:43:57	2668/2668	---M--	200	added ('OK')	image/png	etag:%22a6c-50dd90e89cafd%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-120x120.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-120x120c81e.png	(from http://my.teslamotors.com/models/design)
19:43:57	6672/6672	---M--	200	added ('OK')	image/png	etag:%221a10-50c6f9149f680%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-144x144.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-144x144c81e.png	(from http://my.teslamotors.com/models/design)
19:43:57	3451/3451	---M--	200	added ('OK')	image/png	etag:%22d7b-50c596fd30dad%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-152x152.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/apple-touch-icon-152x152c81e.png	(from http://my.teslamotors.com/models/design)
19:43:57	4455/4455	---M--	200	added ('OK')	image/png	etag:%221167-50c597a1e9300%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/favicon-196x196.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/favicon-196x196c81e.png	(from http://my.teslamotors.com/models/design)
19:43:58	3476/3476	---M--	200	added ('OK')	image/png	etag:%22d94-50c596fd30dad%22	http://my.teslamotors.com/tesla_theme/assets/img/icons/favicon-160x160.png?2	C:/My%20Web%20Sites/tesla/my.teslamotors.com/tesla_theme/assets/img/icons/favicon-160x160c81e.png	(from http://my.teslamotors.com/models/design)
